,SMILES,LogS (Format),cLogS,SD,Reference,Overlapping
641,CCCCCOC(C)=O,-1.89,-1.756126947723094,0.004868974909225389,Tetko et al. 2001,Overlap
651,CCOC(=O)C1(CC[NH+](C)CC1)c1ccccc1,-1.89,-1.4110896434779203,0.11874907730635678,Tetko et al. 2001,Overlap
661,COc1ccc2COC(=O)c2c1OC,-1.89,-1.751350404109982,0.004263032306286745,Tetko et al. 2001,Overlap
671,[O-]C(=O)CCCCCCCC([O-])=O,-1.89,-1.2938791159673868,0.045377730142186996,Tetko et al. 2001,New
679,ClC(Br)Br,-1.9,-1.6626615112680767,0.008366999570824771,Tetko et al. 2001,Overlap
690,BrC(Br)Br,-1.91,-1.7272094035028631,0.1616832572243232,Tetko et al. 2001,Overlap
700,C[NH+]1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,-1.91,-1.5654760916260138,0.21242145847640218,Tetko et al. 2001,Overlap
718,CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91,-2.0133520356221783,0.0011480832888319638,Tetko et al. 2001,Overlap
725,CCCOC(=O)CCC,-1.92,-1.6459728449141344,0.059578129975927985,Tetko et al. 2001,Overlap
733,COc1ccc(C=O)c(C([O-])=O)c1OC,-1.92,-1.4142394674391423,0.003679285644951079,Tetko et al. 2001,Overlap
741,CCCCCCOC(N)=O,-1.92,-1.7981184395033227,0.0,Tetko et al. 2001,Overlap
745,CCC(=O)Nc1ccccc1,-1.92,-1.840702971085683,0.1654690303349844,Tetko et al. 2001,Overlap
750,CC(C)CCOC(C)=O,-1.92,-1.671439544738299,0.053083529565309685,Tetko et al. 2001,Overlap
759,[O-]C(=O)C1=CC(=O)NC(=O)N1,-1.93,-1.8592080666145927,0.004715728494951259,Tetko et al. 2001,Overlap
766,OC(C(O)c1ccccc1)c1ccccc1,-1.93,-1.6052896686097928,0.0013887301496588798,Tetko et al. 2001,Overlap
774,CCc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-1.94,-2.104543912349154,0.5281592562854504,Tetko et al. 2001,New
779,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95,-1.601657222522494,0.0018516401995451045,Tetko et al. 2001,Overlap
787,COc1ccccc1[N+]([O-])=O,-1.96,-2.222476243025183,0.0014179797835887956,Tetko et al. 2001,Overlap
797,[O-]C(=O)C=Cc1c[nH]cn1,-1.96,-0.978343051124822,0.0017888543819998333,Tetko et al. 2001,Overlap
802,Nc1ccccc1[N+]([O-])=O,-1.96,-1.745179244709145,0.006500000000000061,Tetko et al. 2001,New
811,CC(Cl)(Cl)Cl,-2.0,-2.351356139294282,0.06245210285903235,Tetko et al. 2001,Overlap
823,Cc1ccccc1S(N)(=O)=O,-2.02,-1.6976192527917209,0.002138089935299397,Tetko et al. 2001,Overlap
830,CNC(=O)Oc1ccccc1OC(C)C,-2.05,-2.018455091243137,0.009612584344377813,Tetko et al. 2001,Overlap
840,CC(=O)c1ccc(cc1)S(=O)(=O)[N-]C(=O)NC1CCCCC1,-2.06,-3.533740702259454,0.0,Tetko et al. 2001,Overlap
844,[O-]C(=O)C(=C)c1ccccc1,-2.06,-1.4288907318451294,0.0015883504471171709,Tetko et al. 2001,Overlap
852,Cc1ccccc1C([O-])=O,-2.06,-1.466439612747545,0.04213033984807493,Tetko et al. 2001,Overlap
860,OC1CCN2C(O)c3ccccc3[NH+]=C12,-2.07,-1.7928091838538394,0.020784609690826544,Tetko et al. 2001,Overlap
863,[O-]C(=O)Cc1c[nH]c2ccccc12,-2.07,-2.0568257490003194,0.011322796222034302,Tetko et al. 2001,Overlap
871,CC(=O)Nc1cccc(C)c1,-2.09,-1.685568472384258,0.00048795003647442956,Tetko et al. 2001,Overlap
878,CN(C)C(=O)Oc1cc(C)nn1-c1ccccc1,-2.09,-1.7974618425447817,0.0005291502622128598,Tetko et al. 2001,Overlap
885,COc1cc2N3C4C5C(CC3=O)OCC=C3C[NH+]6CCC4(C6CC53)c2cc1OC,-2.09,-2.8491757385837864,0.3696712181436493,Tetko et al. 2001,Overlap
892,OCc1c(Cl)cccc1Cl,-2.1,-2.024641916624149,0.0010517559014288015,Tetko et al. 2001,Overlap
899,[O-]C(=O)c1ccccc1C([O-])=O,-2.11,-1.3031804481437883,0.604326730291193,Tetko et al. 2001,New
908,Nc1ncnc2[nH]cnc12,-2.12,-1.9444098359484487,0.057323642591865946,Tetko et al. 2001,Overlap
914,CN1CSC(=S)N(C)C1,-2.13,-1.69934938165485,0.20543251933420853,Tetko et al. 2001,Overlap
922,Cc1cccc(c1)C([O-])=O,-2.14,-2.0283053511196,0.026127999941679032,Tetko et al. 2001,Overlap
929,O=C1Nc2ccccc2C=C1,-2.14,-2.096004304103517,0.00067823299831257,Tetko et al. 2001,Overlap
935,CC(C)CNC(=O)N1CCNC1=O,-2.15,-1.5081387416082896,0.0019341952101872102,Tetko et al. 2001,Overlap
944,[O-]C(=O)COc1ccccc1Cl,-2.16,-1.6834579625288224,0.0020205639241133795,Tetko et al. 2001,Overlap
952,Oc1ccc2ncccc2c1,-2.16,-1.1631171033432903,0.0010024968827880606,Tetko et al. 2001,Overlap
960,CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,-2.17,-2.700042277066542,0.04660379422711884,Tetko et al. 2001,Overlap
971,CCOc1ccc(NC(N)=O)cc1,-2.17,-2.157059575995106,0.0014491376746189988,Tetko et al. 2001,Overlap
981,C=CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,-2.18,-2.5404392292964446,0.09392826276182555,Tetko et al. 2001,Overlap
992,CCCCNC(=O)[N-]S(=O)(=O)c1ccc(N)cc1,-2.18,-2.7867715696498623,0.2370232056149776,Tetko et al. 2001,Overlap
997,ClCC(Cl)(Cl)Cl,-2.18,-2.3748400276145643,0.007834663007714097,Tetko et al. 2001,Overlap
1006,[O-]N=Cc1ccc(o1)[N+]([O-])=O,-2.19,-2.231532072801745,0.0012649110640673997,Tetko et al. 2001,Overlap
1016,Nc1cccc(c1)[N+]([O-])=O,-2.19,-1.6651966516387682,0.05969225691590392,Tetko et al. 2001,Overlap
1024,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21,-1.4793321647476283,0.024913523162403847,Tetko et al. 2001,Overlap
1035,OC(C([O-])=O)(c1ccccc1)c1ccccc1,-2.21,-1.898869656106504,0.0004879500364742128,Tetko et al. 2001,Overlap
1042,CC(Oc1ccccc1Cl)C([O-])=O,-2.22,-1.8844610082619029,0.0016405573965661726,Tetko et al. 2001,Overlap
1049,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,-2.22,-2.2813167713248244,0.0018856475457165415,Tetko et al. 2001,Overlap
1059,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,-1.5768421725052364,0.11456450148278913,Tetko et al. 2001,Overlap
1069,Cc1cc(Cl)ccc1OCC([O-])=O,-2.23,-2.327363656301844,0.1412909232753471,Tetko et al. 2001,Overlap
1077,CCCCc1c(C)nc(nc1O)N(C)C,-2.24,-2.809634392897559,0.0008944271909998174,Tetko et al. 2001,Overlap
1082,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24,-2.0439472139298656,0.036083237105337305,Tetko et al. 2001,Overlap
1088,CC(=O)Nc1ccccc1O,-2.24,-1.0644739230197289,0.5935024136429439,Tetko et al. 2001,New
1097,O=C1NC(=S)NC=C1,-2.26,-1.6731406777960176,0.004035180116355253,Tetko et al. 2001,Overlap
1105,[O-][N+](=O)[C-]1C(=O)NC(=O)[N-]C1=O,-2.28,-2.465145367897675,0.013680016708427568,Tetko et al. 2001,New
1113,CCCCCCCC([O-])=O,-2.3,-2.282670023428054,0.019684144271831662,Tetko et al. 2001,Overlap
1121,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,-2.3,-3.2059964757480683,0.05599999999999983,Tetko et al. 2001,Overlap
1130,Fc1cc(F)c(F)c(F)c1,-2.31,-2.129495077746788,0.0021239703387759814,Tetko et al. 2001,Overlap
1138,ClC(Cl)(Cl)Cl,-2.31,-2.950907861661693,0.010969582600274435,Tetko et al. 2001,Overlap
1150,CCOC(=O)c1ccccc1,-2.32,-2.045400164880609,0.0004423422506008242,Tetko et al. 2001,Overlap
1160,Nc1ccc(cc1)S(=O)(=O)[N-]c1ccnn1-c1ccccc1,-2.32,-3.5771896111689854,0.00040824829046399937,Tetko et al. 2001,Overlap
1166,CCCOC(=O)c1ccc(N)cc1,-2.33,-2.550310274080814,0.0848898445886533,Tetko et al. 2001,Overlap
1173,NNC(=O)Nc1ccccc1,-2.33,-1.5752507013087391,0.0017888543819998333,Tetko et al. 2001,Overlap
1178,COC(=O)c1ccccc1O,-2.34,-2.2509503300697724,0.4767742614996865,Tetko et al. 2001,New
1186,[O-]c1c(Cl)cc(Cl)cc1Cl,-2.34,-2.6185422311204705,0.02720367622215796,Tetko et al. 2001,Overlap
1195,CCC1(CCC(=O)NC1=O)c1ccccc1,-2.34,-2.091142353414279,0.0015435888917280215,Tetko et al. 2001,Overlap
1205,CCOC(=O)c1ccccc1C(=O)OCC,-2.35,-2.3185419917026264,0.021002179781050196,Tetko et al. 2001,Overlap
1215,CCOC(=O)c1ccc(O)cc1,-2.35,-1.946028172926737,0.11825635097302192,Tetko et al. 2001,New
1226,CN(C)C(=O)NC1CCCCCCC1,-2.36,-2.001881583585565,0.0716077820103684,Tetko et al. 2001,Overlap
1235,CSc1ncnc2nccnc12,-2.36,-1.5279306462455662,0.24661035393240624,Tetko et al. 2001,Overlap
1241,S=C1Nc2nccnc2C=N1,-2.36,-1.890731729089376,0.188007092064812,Tetko et al. 2001,Overlap
1247,CCOc1ccc(NC(C)=O)cc1,-2.37,-2.0802124464041247,0.04793825699289129,Tetko et al. 2001,Overlap
1261,ClCC(Br)CBr,-2.38,-2.5632081167847285,0.04426023691112116,Tetko et al. 2001,Overlap
1269,N#Cc1ccccc1C#N,-2.38,-2.327075965692236,0.06331122070112588,Tetko et al. 2001,Overlap
1279,Oc1ncnc2[nH]ncc12,-2.38,-1.5828231414099203,0.052853346066982304,Tetko et al. 2001,Overlap
1286,CCCC(Cl)Cl,-2.4,-2.106999417320625,0.001898683754604748,Tetko et al. 2001,Overlap
1294,COC(=O)c1ccc(OC)cc1,-2.41,-2.8943981503580942,0.02392989761783369,Tetko et al. 2001,Overlap
1303,Cc1nnc([N-]S(=O)(=O)c2ccc(N)cc2)s1,-2.41,-1.817497325689596,0.7889625496573996,Tetko et al. 2001,New
1310,COc1ccc(cc1)[N+]([O-])=O,-2.41,-2.5176802361114285,0.0034791442115043193,Tetko et al. 2001,Overlap
1319,CC1=CC(=O)NC(=S)N1,-2.43,-1.7690770790713624,0.003188825976924912,Tetko et al. 2001,Overlap
1328,Nc1ccc(cc1)S(=O)(=O)[N-]c1nccs1,-2.43,-2.660343291918008,0.3093543275921642,Tetko et al. 2001,Overlap
1338,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.43,-2.3176846228402703,0.07050770663157645,Tetko et al. 2001,Overlap
1348,Cc1cccc(c1)[N+]([O-])=O,-2.44,-2.280901897691958,0.008667922985865098,Tetko et al. 2001,Overlap
1358,Cc1nc([N-]S(=O)(=O)c2ccc(N)cc2)oc1C,-2.44,-2.4977254533776447,0.12019983361053371,Tetko et al. 2001,Overlap
1366,Cc1cnc(S)nc1O,-2.45,-0.9458294086397152,0.0022516660498396773,Tetko et al. 2001,Overlap
1369,CC(Oc1ccc(Cl)cc1Cl)C([O-])=O,-2.45,-2.5765383542835467,0.1718042124311592,Tetko et al. 2001,Overlap
1380,Nc1cc(Cl)cc(C([O-])=O)c1Cl,-2.47,-2.368977859059537,0.27239825361303,Tetko et al. 2001,Overlap
1388,CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,-2.48,-2.3534445587434627,0.0034641016151378055,Tetko et al. 2001,Overlap
1397,[O-]C(=O)C=Cc1ccccc1,-2.48,-2.3327913687487865,0.040951323654930906,Tetko et al. 2001,Overlap
1408,CC(C)N(C(=O)CCl)c1ccccc1,-2.48,-2.2693544212528205,0.1788731425091847,Tetko et al. 2001,Overlap
1417,[O-]C(=O)COc1ccc(Cl)cc1Cl,-2.51,-2.3945031001780377,0.11962322322908002,Tetko et al. 2001,Overlap
1425,C[NH+](C)C1C2CC3C(O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1[O-],-2.52,-2.45474631774203,0.01798151828962173,Tetko et al. 2001,New
1431,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52,-2.235002637093908,0.06676359620165602,Tetko et al. 2001,Overlap
1441,COc1cc(Cl)c(Cl)cc1O,-2.53,-2.4822893096228285,0.0,Tetko et al. 2001,Overlap
1444,Fc1ccc(CCl)cc1,-2.54,-2.607140472345609,0.002140093455903264,Tetko et al. 2001,Overlap
1452,Oc1cccc2ncccc12,-2.54,-1.6230055560321934,0.0010205040771248332,Tetko et al. 2001,New
1459,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54,-2.276809881830988,0.0013416407864999247,Tetko et al. 2001,Overlap
1464,CC(Oc1ccc(Cl)cc1C)C([O-])=O,-2.55,-2.455715718975765,0.06713699190325835,Tetko et al. 2001,Overlap
1475,CC1=C(CCCO1)C(=O)Nc1ccccc1,-2.56,-2.5422413667000248,0.0,Tetko et al. 2001,Overlap
1481,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57,-2.3870359931803984,0.05803294453597154,Tetko et al. 2001,Overlap
1493,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.58,-2.577813413906783,0.002065591117977291,Tetko et al. 2001,Overlap
1499,[O-]C(=O)c1cccc(Cl)c1,-2.59,-2.360009841224479,0.023788002177968712,Tetko et al. 2001,Overlap
1506,C(N(Cc1ccccc1)c1ccccc1)C1=[NH+]CCN1,-2.6,-3.565750078830085,0.0010337364804973424,Tetko et al. 2001,Overlap
1515,ClC(Cl)C(Cl)(Cl)Cl,-2.6,-2.639009817040821,0.011023963796102421,Tetko et al. 2001,Overlap
1524,COc1ccc(cc1)C(O)(C1CC1)c1cncnc1,-2.6,-3.384863422784167,0.0020701966780270645,Tetko et al. 2001,Overlap
1532,[O-]C(=O)CN1C(=O)Sc2cccc(Cl)c12,-2.61,-2.8869854448508194,0.000627921742166757,Tetko et al. 2001,Overlap
1540,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)no1,-2.62,-2.5036257218712983,0.16441997619337065,Tetko et al. 2001,Overlap
1548,CCCCCCCOC(N)=O,-2.62,-2.377689346469237,0.0,Tetko et al. 2001,Overlap
1551,NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl,-2.62,-2.7024803295864155,0.024768165968729758,Tetko et al. 2001,Overlap
1563,[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O,-2.63,-2.076516992843931,0.0014678025904203266,Tetko et al. 2001,Overlap
1572,CCC(=O)c1ccc(N)cc1,-2.63,-1.6563132163545646,0.004472135954999683,Tetko et al. 2001,Overlap
1577,C[NH+](C)CCN(Cc1ccccc1)c1ccccn1,-2.64,-2.3296779269652066,0.0006523309852258982,Tetko et al. 2001,Overlap
1585,C[NH+](C)CCN(Cc1cccs1)c1ccccn1,-2.64,-2.016494095303752,0.009396646438262697,Tetko et al. 2001,Overlap
1593,[O-]C(=O)Cc1cccc2ccccc12,-2.65,-2.49330558565526,0.0016405573965664099,Tetko et al. 2001,Overlap
1600,CC(C)N1C(=O)c2ccccc2[N-]S1(=O)=O,-2.68,-2.621062718989968,0.0009876921151277668,Tetko et al. 2001,Overlap
1608,c1cnc2c(c1)ccc1ncccc21,-2.68,-2.240897717949389,0.0004472135954999087,Tetko et al. 2001,Overlap
1613,CC(=O)Nc1ccc(cc1)[N+]([O-])=O,-2.69,-2.6131412298568293,0.44472168825007846,Tetko et al. 2001,Overlap
1622,CC(Cl)C(C)(C)Cl,-2.69,-2.5796696607813603,0.0,Tetko et al. 2001,Overlap
1628,CC(Cl)C(C)Cl,-2.7,-2.1576541961373428,0.1729833357420433,Tetko et al. 2001,Overlap
1637,Nc1ccc(cc1)-c1ccc(N)cc1,-2.7,-2.776766900238544,0.029448684181130953,Tetko et al. 2001,Overlap
1647,[NH3+]CCCCCCCCCCC([O-])=O,-2.7,-1.4890671972172815,0.21797248024201854,Tetko et al. 2001,Overlap
1655,CCCCCCC(=O)OCC,-2.71,-3.088215290861026,0.014893432557115088,Tetko et al. 2001,Overlap
1665,CCOc1ccc(cc1)C(=O)OCC[NH+](CC)CC,-2.71,-2.528041358104546,0.002322252601001276,Tetko et al. 2001,Overlap
1672,CCCCOC(=O)c1ccc(O)cc1,-2.72,-2.69897238681524,0.15689601941760944,Tetko et al. 2001,Overlap
1683,[O-]C(=O)c1ccccc1I,-2.73,-2.238124221064552,0.1266392514191394,Tetko et al. 2001,Overlap
1689,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,-2.73,-2.608846209002765,0.0005567764362829874,Tetko et al. 2001,Overlap
1698,CN1C(=O)NC(=O)C(C)(C1=O)C1=CCCCC1,-2.74,-2.755397047478117,0.908974480232688,Tetko et al. 2001,Overlap
1706,CCCCCCCCC([O-])=O,-2.75,-2.7424445198532754,0.0020701966780270645,Tetko et al. 2001,New
1714,Nc1c(Cl)c(Cl)nc(C([O-])=O)c1Cl,-2.75,-2.1953624852590776,0.007448234050846598,Tetko et al. 2001,Overlap
1721,COc1ccc2nccc(C(O)C3CC4CC[NH+]3CC4C=C)c2c1,-2.76,-2.7466510674278566,0.5743414494777783,Tetko et al. 2001,Overlap
1738,S=C1NC=Nc2nccnc12,-2.77,-2.2598597379000545,0.07354590403278757,Tetko et al. 2001,Overlap
1742,Cc1cc(O)cc(C)c1Cl,-2.8,-2.4334096306518025,0.045527085737111325,Tetko et al. 2001,Overlap
1750,[O-][N+](=O)c1nccn1CC(=O)NCc1ccccc1,-2.81,-2.723921104403471,0.0,Tetko et al. 2001,Overlap
1756,CN1C(=O)ON(C1=O)c1ccc(Cl)c(Cl)c1,-2.82,-3.789302035579833,1.1597377861734832,Tetko et al. 2001,New
